ID	FL24_1_metaphlan2	XS24_2_metaphlan2	XS24_3_metaphlan2	FS24_3_metaphlan2	NS0_3_metaphlan2	FS24_2_metaphlan2	NS24_1_metaphlan2	NS0_2_metaphlan2	IN24_2_metaphlan2	GS24_2_metaphlan2	IN24_3_metaphlan2	GS24_3_metaphlan2	FL24_3_metaphlan2	FL24_2_metaphlan2	XS24_1_metaphlan2	NS24_3_metaphlan2	NS0_1_metaphlan2	FS24_1_metaphlan2	NS24_2_metaphlan2	GS24_1_metaphlan2	IN24_1_metaphlan2
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis		0.66996			1.61891			1.63416			0.34132		0.0		0.35574			0.25209		0.0		0.33699			0.20356			0.35076			0.18609			0.66719			0.6589			1.65262			0.25025		0.0		0.3589			0.24664			0.21301			0.37243	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_nordii		0.09367			0.07012			0.08066			0.15509		0.0		0.13683			0.03849		0.0		0.24939			0.0757			0.22765			0.07801			0.08355			0.09845			0.08203			0.03148		0.0		0.14498			0.0357			0.0812			0.23342	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus		2.66789			4.66892			4.6946			1.57984			0.77898			1.52814			1.11671			0.78215			1.08595			1.66773			1.10528			1.67206			2.5884			2.56121			4.7629			1.03188			0.85101			1.63361			1.06958			1.74386			1.08905	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_plebeius		0.00879			0.0462			0.05365			0.00699			0.47344			0.00436		0.0		0.47222			0.19241			0.06162			0.18992			0.05632			0.0075			0.00656			0.04857		0.0		0.49701			0.00415		0.0		0.05887			0.17714	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_salyersiae		0.78667			0.33376			0.32276			0.77651		0.0		0.78076			0.12176		0.0		0.45705			0.22618			0.45264			0.22542			0.76609			0.72394			0.38917			0.12183		0.0		0.83804			0.12604			0.23585			0.46567	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_1_1_14		0.13775			0.10581			0.11771			0.14104			0.02119			0.14104			0.07604			0.01743			0.07159			0.11519			0.0776			0.09901			0.13142			0.11558			0.11756			0.08384			0.01854			0.1385			0.07033			0.1184			0.08206	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_1_1_30		0.18269			0.31686			0.31367			0.15203			0.10484			0.15125			0.08806			0.09054			0.12553			0.08991			0.12915			0.08464			0.13733			0.13096			0.33705			0.07422			0.08662			0.14872			0.09077			0.08322			0.1483	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_1_1_6		0.32941			0.25057			0.26501			0.31355			0.03328			0.337			0.18415			0.03777			0.31744			0.30447			0.32017			0.3187			0.38573			0.34014			0.27469			0.16977			0.04402			0.30092			0.15876			0.3297			0.34567	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_2_1_16		0.03492			0.00938			0.00936			0.02351			0.01032			0.01701			0.01392			0.01261			0.00999			0.03921			0.01429			0.04145			0.02508			0.02353			0.00803			0.01699			0.01083			0.02206			0.00617			0.04179			0.01476	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_2_1_22		0.42006			0.13119			0.09344			0.48814		0.0		0.44927			0.3397			0.07522			0.15697			0.13058			0.1257			0.13036			0.2411			0.29701			0.103			0.31564		0.0		0.53409			0.20128			0.15133			0.14599	
